SampleID,SampleType,SampleSource,Host_SampleName,CollectionDate,Latitude,Longitude,,Elevation,DNAExtractionProtocol,ExtractorName,SampleDescription,Project_Name,Set_ID,FireTreatment,BurnYear,Year_,Month_,Day_,ObjectID_1,InOrOut,Lat,Lon,BurnDate,ELEVATION_AVG,SLOPE_AVG,SLOPE_MAX,ASPECT_DOM,CANOPY_2001,POP_DEN_2000,POP_2000,SOIL_DOM,GEOLOGY_DOM,PRECIP_1,PRECIP_2,PRECIP_3,PRECIP_4,PRECIP_5,PRECIP_6,PRECIP_7,PRECIP_8,PRECIP_9,PRECIP_10,PRECIP_11,PRECIP_12,TMEAN_1,TMEAN_2,TMEAN_3,TMEAN_4,TMEAN_5,TMEAN_6,TMEAN_7,TMEAN_8,TMEAN_9,TMEAN_10,TMEAN_11,TMEAN_12,TMIN_1,TMIN_2,TMIN_3,TMIN_4,TMIN_5,TMIN_6,TMIN_7,TMIN_8,TMIN_9,TMIN_10,TMIN_11,TMIN_12,TMAX_1,TMAX_2,TMAX_3,TMAX_4,TMAX_5,TMAX_6,TMAX_7,TMAX_8,TMAX_9,TMAX_10,TMAX_11,TMAX_12,ANNUAL_MEAN_TEMP,ANNUAL_PRECIP,ISOTHERMALITY,MAX_TEMP_WARMEST_MONTH,MEAN_DIURNAL_RANGE,MEAN_TEMP_COLDEST_QUARTER,MEAN_TEMP_DRIEST_QUARTER,MEAN_TEMP_WARMEST_QUARTER,MEAN_TEMP_WETTEST_QUARTER,MIN_TEMP_COLDEST_MONTH,PRECIP_COLDEST_QUARTER,PRECIP_DRIEST_MONTH,PRECIP_DRIEST_QUARTER,PRECIP_SEASONALITY,PRECIP_WARMEST_QUARTER,PRECIP_WETTEST_MONTH,PRECIP_WETTEST_QUARTER,TEMP_ANNUAL_RANGE,TEMP_SEASONALITY,Soil_Description,to_keep,ID,LibID,Title,Filename,Filename2,
FS-1E,Environmental,Soil,Burn_2015,2018-06-30,38.5261,-111.77282,38.5261 N 111.77282 W,2965,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_1E,Forest_Fire_Recovery,Set_1,Burn,2015,2015,4,14,1603,in,38.52798,-111.771563,2015-04-14,300989,9.7139558792,12.5999441147,4,20.09,0,0,674564,82,44,43,55,37,38,26,50,60,44,39,42,46,-7.9,-7.2,-5.2,-0.9,4,9.2,13.2,12,8,3.1,-3.3,-7.1,-15.2,-14.2,-11.7,-7.7,-3.5,0.7,4.9,4.1,0,-4.4,-10,-14.2,-0.5,-0.1,1.4,6,11.6,17.7,21.5,20,16.1,10.7,3.5,0,-7.9,524,40,-7.2,149,-5.2,-0.9,4,9.2,13.2,133,26,101,19,136,60,154,12,8,Travessilla-Rock outcrop-Midfork family (s7972),yes,1603_in,FS-1E-ITS1,Fungal ITS1 of Soil: FS-1E,FS-1E_R1_001.fastq.gz,FS-1E_R2_001.fastq.gz,FS-1E_R1_001.fastq.gz
FS-1W,Environmental,Soil,Burn_2015,2018-06-30,38.5261,-111.77282,38.5261 N 111.77282 W,2965,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_1W,Forest_Fire_Recovery,Set_1,Burn,2015,2015,4,14,1603,in,38.52798,-111.771563,2015-04-14,300989,9.7139558792,12.5999441147,4,20.09,0,0,674564,82,44,43,55,37,38,26,50,60,44,39,42,46,-7.9,-7.2,-5.2,-0.9,4,9.2,13.2,12,8,3.1,-3.3,-7.1,-15.2,-14.2,-11.7,-7.7,-3.5,0.7,4.9,4.1,0,-4.4,-10,-14.2,-0.5,-0.1,1.4,6,11.6,17.7,21.5,20,16.1,10.7,3.5,0,-7.9,524,40,-7.2,149,-5.2,-0.9,4,9.2,13.2,133,26,101,19,136,60,154,12,8,Travessilla-Rock outcrop-Midfork family (s7972),yes,1603_in,FS-1W-ITS1,Fungal ITS1 of Soil: FS-1W,FS-1W_R1_001.fastq.gz,FS-1W_R2_001.fastq.gz,
FS-1N,Environmental,Soil,Burn_2015,2018-06-30,38.5261,-111.77282,38.5261 N 111.77282 W,2965,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_1N,Forest_Fire_Recovery,Set_1,Burn,2015,2015,4,14,1603,in,38.52798,-111.771563,2015-04-14,300989,9.7139558792,12.5999441147,4,20.09,0,0,674564,82,44,43,55,37,38,26,50,60,44,39,42,46,-7.9,-7.2,-5.2,-0.9,4,9.2,13.2,12,8,3.1,-3.3,-7.1,-15.2,-14.2,-11.7,-7.7,-3.5,0.7,4.9,4.1,0,-4.4,-10,-14.2,-0.5,-0.1,1.4,6,11.6,17.7,21.5,20,16.1,10.7,3.5,0,-7.9,524,40,-7.2,149,-5.2,-0.9,4,9.2,13.2,133,26,101,19,136,60,154,12,8,Travessilla-Rock outcrop-Midfork family (s7972),yes,1603_in,FS-1N-ITS1,Fungal ITS1 of Soil: FS-1N,FS-1N_R1_001.fastq.gz,FS-1N_R2_001.fastq.gz,
FS-2E,Environmental,Soil,NonBurn_2015,2018-06-30,38.52704,-111.77353,38.52704 N 111.77353 W,2969,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_2E,Forest_Fire_Recovery,Set_1,NonBurn,2015,2015,4,14,1603,out,38.528712,-111.773421,2015-04-14,300033,9.1717472076,11.0654640198,3,18.74,0,0,674564,82,44,43,55,37,38,26,50,60,44,39,42,46,-7.9,-7.2,-5.2,-0.9,4,9.2,13.2,12,8,3.1,-3.3,-7.1,-15.2,-14.2,-11.7,-7.7,-3.5,0.7,4.9,4.1,0,-4.4,-10,-14.2,-0.5,-0.1,1.4,6,11.6,17.7,21.5,20,16.1,10.7,3.5,0,-7.9,524,40,-7.2,149,-5.2,-0.9,4,9.2,13.2,133,26,101,19,136,60,154,12,8,Travessilla-Rock outcrop-Midfork family (s7972),yes,1603_out,FS-2E-ITS1,Fungal ITS1 of Soil: FS-2E,FS-2E_R1_001.fastq.gz,FS-2E_R2_001.fastq.gz,
FS-2W,Environmental,Soil,NonBurn_2015,2018-06-30,38.52704,-111.77353,38.52704 N 111.77353 W,2969,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_2W,Forest_Fire_Recovery,Set_1,NonBurn,2015,2015,4,14,1603,out,38.528712,-111.773421,2015-04-14,300033,9.1717472076,11.0654640198,3,18.74,0,0,674564,82,44,43,55,37,38,26,50,60,44,39,42,46,-7.9,-7.2,-5.2,-0.9,4,9.2,13.2,12,8,3.1,-3.3,-7.1,-15.2,-14.2,-11.7,-7.7,-3.5,0.7,4.9,4.1,0,-4.4,-10,-14.2,-0.5,-0.1,1.4,6,11.6,17.7,21.5,20,16.1,10.7,3.5,0,-7.9,524,40,-7.2,149,-5.2,-0.9,4,9.2,13.2,133,26,101,19,136,60,154,12,8,Travessilla-Rock outcrop-Midfork family (s7972),yes,1603_out,FS-2W-ITS1,Fungal ITS1 of Soil: FS-2W,FS-2W_R1_001.fastq.gz,FS-2W_R2_001.fastq.gz,
FS-2N,Environmental,Soil,NonBurn_2015,2018-06-30,38.52704,-111.77353,38.52704 N 111.77353 W,2969,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_2N,Forest_Fire_Recovery,Set_1,NonBurn,2015,2015,4,14,1603,out,38.528712,-111.773421,2015-04-14,300033,9.1717472076,11.0654640198,3,18.74,0,0,674564,82,44,43,55,37,38,26,50,60,44,39,42,46,-7.9,-7.2,-5.2,-0.9,4,9.2,13.2,12,8,3.1,-3.3,-7.1,-15.2,-14.2,-11.7,-7.7,-3.5,0.7,4.9,4.1,0,-4.4,-10,-14.2,-0.5,-0.1,1.4,6,11.6,17.7,21.5,20,16.1,10.7,3.5,0,-7.9,524,40,-7.2,149,-5.2,-0.9,4,9.2,13.2,133,26,101,19,136,60,154,12,8,Travessilla-Rock outcrop-Midfork family (s7972),yes,1603_out,FS-2N-ITS1,Fungal ITS1 of Soil: FS-2N,FS-2N_R1_001.fastq.gz,FS-2N_R2_001.fastq.gz,
FS-32E,Environmental,Soil,NonBurn_2007,2018-11-03,39.9417,-111.78191,39.9417 N 111.78191 W,1706,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_32E,Forest_Fire_Recovery,Set_2,NonBurn,2007,2007,6,17,254,out,39.942171,-111.781958,2007-06-17,171858,15.9308586121,24.4690551758,4,34.41,0,0,674693,-109,41,41,51,46,42,25,24,30,35,43,44,44,-4,-1.3,2.6,7.1,12.1,17.4,21.7,20.6,15.4,9.2,2.5,-3.1,-10,-7.5,-4,-0.3,3.9,8.3,12.5,11.5,6.4,1,-3.9,-8.8,2,5,9.3,14.5,20.3,26.5,31,29.8,24.4,17.5,9,2.6,-4,474,37,-1.3,152,2.6,7.1,12.1,17.4,21.7,129,25,82,20,82,52,140,20.6,15.4,Yeates Hollow-St marys-Moweba-Hoskin-Holmes (s7833),yes,254_out,FS-32E-ITS1,Fungal ITS1 of Soil: FS-32E,FS-32E_R1_001.fastq.gz,FS-32E_R2_001.fastq.gz,
FS-32W,Environmental,Soil,NonBurn_2007,2018-11-03,39.9417,-111.78191,39.9417 N 111.78191 W,1706,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_32W,Forest_Fire_Recovery,Set_2,NonBurn,2007,2007,6,17,254,out,39.942171,-111.781958,2007-06-17,171858,15.9308586121,24.4690551758,4,34.41,0,0,674693,-109,41,41,51,46,42,25,24,30,35,43,44,44,-4,-1.3,2.6,7.1,12.1,17.4,21.7,20.6,15.4,9.2,2.5,-3.1,-10,-7.5,-4,-0.3,3.9,8.3,12.5,11.5,6.4,1,-3.9,-8.8,2,5,9.3,14.5,20.3,26.5,31,29.8,24.4,17.5,9,2.6,-4,474,37,-1.3,152,2.6,7.1,12.1,17.4,21.7,129,25,82,20,82,52,140,20.6,15.4,Yeates Hollow-St marys-Moweba-Hoskin-Holmes (s7833),yes,254_out,FS-32W-ITS1,Fungal ITS1 of Soil: FS-32W,FS-32W_R1_001.fastq.gz,FS-32W_R2_001.fastq.gz,
FS-32N,Environmental,Soil,NonBurn_2007,2018-11-03,39.9417,-111.78191,39.9417 N 111.78191 W,1706,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_32N,Forest_Fire_Recovery,Set_2,NonBurn,2007,2007,6,17,254,out,39.942171,-111.781958,2007-06-17,171858,15.9308586121,24.4690551758,4,34.41,0,0,674693,-109,41,41,51,46,42,25,24,30,35,43,44,44,-4,-1.3,2.6,7.1,12.1,17.4,21.7,20.6,15.4,9.2,2.5,-3.1,-10,-7.5,-4,-0.3,3.9,8.3,12.5,11.5,6.4,1,-3.9,-8.8,2,5,9.3,14.5,20.3,26.5,31,29.8,24.4,17.5,9,2.6,-4,474,37,-1.3,152,2.6,7.1,12.1,17.4,21.7,129,25,82,20,82,52,140,20.6,15.4,Yeates Hollow-St marys-Moweba-Hoskin-Holmes (s7833),yes,254_out,FS-32N-ITS1,Fungal ITS1 of Soil: FS-32N,FS-32N_R1_001.fastq.gz,FS-32N_R2_001.fastq.gz,
FS-31W,Environmental,Soil,Burn_2007,2018-11-03,39.94178,-111.78222,39.94178 N 111.78222 W,1700,Zymo Soil Kit,Spencer McGee,Forest_Fire_Recovery_FS_31W,Forest_Fire_Recovery,Set_2,Burn,2007,2007,6,17,254,in,39.941676,-111.781982,2007-06-17,172144,15.3618421555,24.4690551758,4,32.03,0,0,674693,-109,42,42,52,46,42,26,25,31,35,43,45,45,-4.2,-1.5,2.4,6.9,11.8,17.1,21.4,20.3,15.2,9.1,2.3,-3.3,-10.2,-7.7,-4.2,-0.5,3.6,8,12.2,11.2,6.2,0.9,-4.1,-9,1.9,4.8,9,14.2,20,26.2,30.7,29.5,24.2,17.3,8.8,2.5,-4.2,474,37,-1.5,152,2.4,6.9,11.8,17.1,21.4,129,25,82,20,82,52,140,20.3,15.2,Yeates Hollow-St marys-Moweba-Hoskin-Holmes (s7833),yes,254_in,FS-31W-ITS1,Fungal ITS1 of Soil: FS-31W,FS-31W_R1_001.fastq.gz,FS-31W_R2_001.fastq.gz,
